,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,dia_da_semana,mes,tipo_faixa,tipo_perfil_de_terreno,iluminacao
0,920.8,camanducaia,2023-02-23,1,MG,59.49626400996264,57.71969696969697,63.253185781354794,60.55610098176718,7227,132,5964,713,0,0,Dia_de_semana,2,Acostamento,Perfil_Ondulado,0
1,76.4,sao_paulo,2023-02-02,0,SP,50.149326999208235,49.00130890052356,60.500717017208416,52.60897435897436,6315,764,6276,234,0,1,Dia_de_semana,2,Terceira_faixa,Perfil_Montanhoso,0
2,525.35,brumadinho,2023-11-19,1,MG,56.89293668469615,61.504464285714285,62.60213515298261,58.4956772334294,3143,224,4543,347,0,0,Dia_de_semana,11,Acostamento,Perfil_Ondulado,0
3,75.65,sao_paulo,2023-01-17,1,SP,57.327182623365665,66.32840236686391,63.40777749490835,59.37323943661972,4742,169,7856,142,0,1,Dia_de_semana,1,Terceira_faixa,Perfil_Plano,0
4,75.65,sao_paulo,2023-02-13,1,SP,56.54070029272686,66.10653188180405,63.78980948424239,58.46106557377049,8882,643,16849,488,0,1,Dia_de_semana,2,Terceira_faixa,Perfil_Plano,0
5,493.29,betim,2023-04-08,1,MG,63.4844400217116,65.23290441176471,63.6067036411864,62.060509554140125,5527,2720,29029,785,0,0,Dia_de_semana,4,Terceira_faixa,Perfil_Plano,1
6,920.8,camanducaia,2023-07-21,1,MG,65.45430192247085,66.62612612612612,64.51274312541918,65.69067796610169,3173,111,7455,236,0,1,Dia_de_semana,7,Acostamento,Perfil_Ondulado,0
7,70.2,mairipora,2023-06-28,0,SP,54.50123784261715,54.40638297872341,60.36442598187311,56.99885321100918,5655,235,1324,436,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Montanhoso,0
8,525.35,brumadinho,2023-05-22,1,MG,53.82363903874448,49.50246305418719,60.23400852878465,57.74203821656051,10195,406,7504,942,0,0,Dia_de_semana,5,Acostamento,Perfil_Ondulado,0
9,923.38,camanducaia,2023-08-12,1,MG,62.899012751953926,62.65841584158416,64.17674707343029,61.65138592750533,4862,101,5638,469,0,1,Dia_de_semana,8,Acostamento,Perfil_Plano,0
10,920.8,camanducaia,2023-03-18,1,MG,66.65274803711634,63.71917808219178,64.68714328627216,64.73469387755102,1401,73,3329,98,0,0,Dia_de_semana,3,Acostamento,Perfil_Ondulado,0
11,70.2,mairipora,2023-05-03,0,SP,55.7820823244552,57.145604395604394,62.8957423580786,56.592689295039165,3717,182,916,383,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Montanhoso,0
12,59.795,mairipora,2023-12-28,1,SP,63.02815023617248,66.41240875912409,64.0066410771949,61.00561797752809,13126,137,16413,890,0,0,Dia_de_semana,12,Acostamento,Perfil_Montanhoso,0
13,483.7,betim,2023-03-20,1,MG,57.72523270077206,62.80634703975431,59.30971585502984,57.270460213103604,13859,5861,46244,4411,0,1,Dia_de_semana,3,Terceira_faixa,Perfil_Montanhoso,0
14,643.224,santo_antonio_do_amparo,2023-03-01,1,MG,63.03703165843741,58.46103896103896,62.94020100502512,63.84394904458599,6886,77,2985,628,0,0,Dia_de_semana,3,Acostamento,Perfil_Plano,0
15,525.35,brumadinho,2023-03-02,1,MG,57.24667956157318,62.705128205128204,62.28147711648006,60.5132802124834,7755,195,5091,753,0,1,Dia_de_semana,3,Acostamento,Perfil_Ondulado,0
16,59.795,mairipora,2023-09-20,1,SP,61.975439238653,66.1930693069307,64.1229843869977,60.23551637279597,13660,101,11721,794,0,0,Dia_de_semana,9,Acostamento,Perfil_Montanhoso,0
17,76.4,sao_paulo,2023-12-10,0,SP,53.631284021773936,51.56818181818182,62.741983556012336,54.37647058823529,3123,506,9730,170,0,1,Dia_de_semana,12,Terceira_faixa,Perfil_Montanhoso,0
18,643.224,santo_antonio_do_amparo,2023-11-04,1,MG,62.192892613283675,63.69672131147541,63.11698440207972,62.0,3222,61,2308,300,0,1,Dia_de_semana,11,Acostamento,Perfil_Plano,0
19,653.74,santo_antonio_do_amparo,2023-12-09,1,MG,64.04496606334841,70.14788732394366,65.18532818532819,63.79136690647482,3536,71,2590,278,0,1,Dia_de_semana,12,Acostamento,Perfil_Ondulado,0
20,78.2,sao_paulo,2023-05-20,1,SP,63.92302459445317,69.02682403433477,65.74056697943702,62.550298380221655,9555,932,35063,1173,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Montanhoso,0
21,920.8,camanducaia,2023-05-09,1,MG,65.26835060449051,64.47058823529412,64.53662330316742,64.98186528497409,2316,68,3536,193,0,0,Dia_de_semana,5,Acostamento,Perfil_Ondulado,0
22,653.74,santo_antonio_do_amparo,2023-08-25,1,MG,63.89450698757764,61.75,64.48424277793988,64.69621749408984,5152,64,3427,423,0,0,Dia_de_semana,8,Acostamento,Perfil_Ondulado,0
23,76.4,sao_paulo,2023-06-12,0,SP,52.90452290296527,53.037298387096776,62.47565811212689,56.68959107806691,8667,992,9079,269,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Montanhoso,0
24,75.65,sao_paulo,2023-11-02,1,SP,58.324759437453736,69.55405405405405,64.37157994622805,60.87662337662338,5404,333,18969,385,0,1,Dia_de_semana,11,Terceira_faixa,Perfil_Plano,0
25,643.224,santo_antonio_do_amparo,2023-11-05,1,MG,62.959016393442624,67.47802197802197,64.1159323542501,63.02732240437158,3721,91,4494,366,0,0,Dia_de_semana,11,Acostamento,Perfil_Plano,0
26,76.4,sao_paulo,2023-11-04,0,SP,51.604330708661415,49.53250773993808,61.55912568306011,51.1198347107438,3556,646,9150,121,0,1,Dia_de_semana,11,Terceira_faixa,Perfil_Montanhoso,0
27,75.65,sao_paulo,2023-07-05,1,SP,57.78831061544816,68.17961165048544,63.970512683292306,58.87662337662338,9684,515,18686,462,0,0,Dia_de_semana,7,Terceira_faixa,Perfil_Plano,0
28,78.2,sao_paulo,2023-11-14,1,SP,61.762609743501464,69.30013458950202,65.76307770441849,60.772273936170215,11618,743,19690,1504,0,1,Dia_de_semana,11,Terceira_faixa,Perfil_Montanhoso,0
29,528.35,brumadinho,2023-07-26,0,MG,52.263041065482795,61.18493150684932,64.81021155410903,50.77229299363057,2703,73,2458,314,0,0,Dia_de_semana,7,Terceira_faixa,Perfil_Montanhoso,0
30,923.38,camanducaia,2023-03-09,1,MG,57.3377782675777,55.11309523809524,60.59509869521579,60.072560975609754,9074,168,5978,820,0,0,Dia_de_semana,3,Acostamento,Perfil_Plano,0
31,76.4,sao_paulo,2023-06-05,0,SP,52.89760360558426,55.50756901157614,62.58586854947565,55.14066193853428,9097,1123,9631,423,0,0,Dia_de_semana,6,Terceira_faixa,Perfil_Montanhoso,0
32,59.795,mairipora,2023-05-12,1,SP,60.25874427556912,65.76785714285714,62.44029109333863,57.4765625,15067,168,20131,1280,0,0,Dia_de_semana,5,Acostamento,Perfil_Montanhoso,0
33,59.795,mairipora,2023-06-06,1,SP,61.16135122107969,63.69277108433735,63.74570895522388,59.44511581067472,24896,249,26800,1986,0,1,Dia_de_semana,6,Acostamento,Perfil_Montanhoso,0
34,920.8,camanducaia,2023-05-11,1,MG,65.09109495683781,66.17808219178082,64.56350482315112,65.09715639810426,2201,73,3732,211,0,0,Dia_de_semana,5,Acostamento,Perfil_Ondulado,0
35,643.224,santo_antonio_do_amparo,2023-04-08,1,MG,63.030076558512576,58.75,62.92440041710115,62.33884297520661,2743,40,1918,242,0,1,Dia_de_semana,4,Acostamento,Perfil_Plano,0
36,75.65,sao_paulo,2023-09-02,1,SP,61.203984819734345,68.28280542986425,64.57258441679917,61.8109756097561,2635,221,10691,164,0,1,Dia_de_semana,9,Terceira_faixa,Perfil_Plano,0
37,923.38,camanducaia,2023-01-10,1,MG,62.237451962268544,61.900763358778626,63.22952369696253,61.76285714285714,8587,131,8461,875,0,1,Dia_de_semana,1,Acostamento,Perfil_Plano,0
38,59.795,mairipora,2023-02-12,1,SP,61.73728651846198,53.4378640776699,60.679372044766474,58.67032967032967,10481,515,29397,637,0,1,Dia_de_semana,2,Acostamento,Perfil_Montanhoso,0
39,493.29,betim,2023-05-09,1,MG,61.83117467170354,65.90478370336461,63.59726240033867,61.63358169238957,11118,4369,28346,1879,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Plano,1
40,920.8,camanducaia,2023-05-02,1,MG,65.13938973647711,60.93478260869565,64.43400637619554,65.33050847457628,2163,92,4705,177,0,1,Dia_de_semana,5,Acostamento,Perfil_Ondulado,0
41,70.2,mairipora,2023-05-08,0,SP,57.31783317353787,65.31118881118881,63.28252032520325,56.07142857142857,3129,143,984,350,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Montanhoso,0
42,653.74,santo_antonio_do_amparo,2023-06-04,1,MG,63.66042710255734,57.764367816091955,63.463026287668306,64.5204081632653,7586,87,4679,735,0,0,Dia_de_semana,6,Acostamento,Perfil_Ondulado,0
43,643.224,santo_antonio_do_amparo,2023-08-31,1,MG,62.72471253167024,67.77272727272727,63.373303167420815,63.048780487804876,5131,77,2652,410,0,0,Dia_de_semana,8,Acostamento,Perfil_Plano,0
44,653.74,santo_antonio_do_amparo,2023-08-24,1,MG,63.89373970345964,63.59848484848485,64.51953125,65.48595505617978,5463,66,2560,356,0,0,Dia_de_semana,8,Acostamento,Perfil_Ondulado,0
45,73.06,sao_paulo,2023-02-27,0,SP,62.78102672664726,70.68476499189627,65.39597007088474,63.855614973262036,7558,617,15236,374,0,1,Dia_de_semana,2,Terceira_faixa,Perfil_Ondulado,0
46,528.35,brumadinho,2023-10-29,0,MG,48.376174210076854,63.12978723404255,63.077047663118925,52.62671232876713,1171,235,2161,146,0,0,Dia_de_semana,10,Terceira_faixa,Perfil_Montanhoso,0
47,923.38,camanducaia,2023-03-17,1,MG,62.35137220324038,62.89375,64.02802809435462,62.5957095709571,9073,160,7546,909,0,0,Dia_de_semana,3,Acostamento,Perfil_Plano,0
48,59.795,mairipora,2023-01-16,1,SP,61.37465549553522,65.36814621409921,63.574021687883075,59.508078994614,9071,383,19089,1114,0,1,Dia_de_semana,1,Acostamento,Perfil_Montanhoso,0
49,920.8,camanducaia,2023-06-28,1,MG,65.03488372093024,61.86290322580645,64.30835756926373,64.64893617021276,3827,124,6533,329,0,0,Dia_de_semana,6,Acostamento,Perfil_Ondulado,0
50,653.74,santo_antonio_do_amparo,2023-12-19,1,MG,63.72517730496454,67.32432432432432,65.03115066751431,63.876068376068375,5640,74,3146,351,0,0,Dia_de_semana,12,Acostamento,Perfil_Ondulado,0
51,78.2,sao_paulo,2023-11-30,1,SP,59.908696124199324,66.3733705772812,64.66691227036054,60.274964838255976,9211,537,10179,1422,0,1,Dia_de_semana,11,Terceira_faixa,Perfil_Montanhoso,0
52,920.8,camanducaia,2023-01-05,1,MG,57.43276661514683,59.21978021978022,60.86284272268449,59.3,5823,91,7331,675,0,1,Dia_de_semana,1,Acostamento,Perfil_Ondulado,0
53,70.2,mairipora,2023-09-15,0,SP,55.2099016615802,67.05660377358491,61.61239860950174,54.7816091954023,2949,106,863,174,0,0,Dia_de_semana,9,Terceira_faixa,Perfil_Montanhoso,0
54,75.65,sao_paulo,2023-10-21,1,SP,57.71511846558857,67.76821192052981,63.84956467103492,57.26075268817204,5318,302,22282,372,0,1,Dia_de_semana,10,Terceira_faixa,Perfil_Plano,0
55,528.35,brumadinho,2023-12-27,0,MG,52.120029455081,67.00259067357513,66.62758076269128,50.997284716834756,5432,193,8234,1289,0,0,Dia_de_semana,12,Terceira_faixa,Perfil_Montanhoso,0
56,653.74,santo_antonio_do_amparo,2023-08-05,1,MG,63.39700659563673,60.5,63.25464445868033,62.375,1971,24,1561,224,0,0,Dia_de_semana,8,Acostamento,Perfil_Ondulado,0
57,528.35,brumadinho,2023-05-29,0,MG,51.599259259259256,64.11016949152543,64.02012464294988,48.96213425129088,3375,177,3851,581,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Montanhoso,0
58,643.224,santo_antonio_do_amparo,2023-01-15,1,MG,62.5,55.5,59.013513513513516,64.93396226415095,100,3,74,53,0,1,Dia_de_semana,1,Acostamento,Perfil_Plano,0
59,73.06,sao_paulo,2023-10-02,0,SP,63.2211656981863,71.09032258064516,65.42323389369352,64.74929178470255,5679,465,10291,353,0,1,Dia_de_semana,10,Terceira_faixa,Perfil_Ondulado,0
60,643.224,santo_antonio_do_amparo,2023-09-13,1,MG,62.73960320488363,70.265625,63.69433817903596,63.37621359223301,5242,64,2614,412,0,0,Dia_de_semana,9,Acostamento,Perfil_Plano,0
61,76.4,sao_paulo,2023-02-06,0,SP,51.05790854572714,52.174479166666664,61.85201200141193,54.052132701421804,5336,576,5666,211,0,1,Dia_de_semana,2,Terceira_faixa,Perfil_Montanhoso,0
62,525.35,brumadinho,2023-05-23,1,MG,58.576477302660464,62.52405498281787,63.73117283950617,60.62489158716392,11389,291,6480,1153,0,0,Dia_de_semana,5,Acostamento,Perfil_Ondulado,0
63,78.2,sao_paulo,2023-04-24,1,SP,63.021420472951085,69.97555791710946,66.03289327301046,61.84451219512195,12348,941,26966,1640,0,0,Dia_de_semana,4,Terceira_faixa,Perfil_Montanhoso,0
64,73.06,sao_paulo,2023-11-04,0,SP,63.74874910650465,69.95632530120481,65.3449826443673,64.70245398773007,2798,332,12676,163,0,1,Dia_de_semana,11,Terceira_faixa,Perfil_Ondulado,0
65,643.224,santo_antonio_do_amparo,2023-10-31,1,MG,62.664044130945925,64.3135593220339,64.16530612244898,62.76123595505618,5529,59,2450,356,0,0,Dia_de_semana,10,Acostamento,Perfil_Plano,0
66,76.4,sao_paulo,2023-04-23,0,SP,55.341840052015606,55.528225806451616,63.743232005913335,56.166666666666664,3076,496,10823,135,0,0,Dia_de_semana,4,Terceira_faixa,Perfil_Montanhoso,0
67,653.74,santo_antonio_do_amparo,2023-09-23,1,MG,64.01981351981352,68.63186813186813,64.90306122448979,62.756493506493506,3432,91,2940,308,0,0,Dia_de_semana,9,Acostamento,Perfil_Ondulado,0
68,483.7,betim,2023-05-04,1,MG,57.408090400471146,63.460841019227765,60.61998455914076,57.04196508504924,13584,6397,44039,4468,0,0,Dia_de_semana,5,Terceira_faixa,Perfil_Montanhoso,0
69,525.35,brumadinho,2023-09-27,1,MG,56.09788808386003,62.342592592592595,62.50979886539454,58.07657657657658,6487,162,3878,555,0,0,Dia_de_semana,9,Acostamento,Perfil_Ondulado,0
70,59.795,mairipora,2023-01-20,1,SP,60.31900452488688,64.92307692307692,62.67748180269475,58.87871287128713,9061,364,19371,1212,0,1,Dia_de_semana,1,Acostamento,Perfil_Montanhoso,0
71,923.38,camanducaia,2023-05-16,1,MG,61.63718104495747,59.028125,63.763167520117044,62.04522613065327,8230,160,5468,796,0,0,Final_de_Semana,5,Acostamento,Perfil_Plano,0
72,643.224,santo_antonio_do_amparo,2023-07-13,1,MG,62.72133757961783,60.3445945945946,62.67235410484669,63.67972350230415,6280,74,4044,651,0,0,Final_de_Semana,7,Acostamento,Perfil_Plano,0
73,76.4,sao_paulo,2023-10-04,0,SP,49.699751148545175,47.69942196531792,60.23019221753399,50.63636363636363,5224,692,4266,176,0,1,Final_de_Semana,10,Terceira_faixa,Perfil_Montanhoso,0
74,528.35,brumadinho,2023-11-17,0,MG,50.143925574607806,67.47247706422019,65.5467255334805,51.000463821892396,5482,218,5436,1078,0,0,Final_de_Semana,11,Terceira_faixa,Perfil_Montanhoso,0
75,643.224,santo_antonio_do_amparo,2023-12-03,1,MG,63.40789104184218,64.30952380952381,63.76671790930054,63.46495956873316,3561,42,2602,371,0,0,Final_de_Semana,12,Acostamento,Perfil_Plano,0
76,923.38,camanducaia,2023-04-27,1,MG,61.669880802403334,59.91142857142857,63.35842160226764,61.67758784425451,10319,175,6703,1053,0,1,Final_de_Semana,4,Acostamento,Perfil_Plano,0
77,923.38,camanducaia,2023-09-09,1,MG,63.22346368715084,61.89208633093525,64.18718777549222,62.31720430107527,5370,139,6806,465,0,0,Final_de_Semana,9,Acostamento,Perfil_Plano,0
78,920.8,camanducaia,2023-04-11,1,MG,57.33955823293173,50.679611650485434,59.19528371407517,61.15384615384615,2490,103,4071,247,0,1,Dia_de_semana,4,Acostamento,Perfil_Ondulado,0
79,76.4,sao_paulo,2023-08-21,0,SP,52.300735950044604,52.879629629629626,62.3910626945309,55.879411764705885,4484,540,4498,170,0,0,Dia_de_semana,8,Terceira_faixa,Perfil_Montanhoso,0
