,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,mes,iluminacao,dia_da_semana_Final_de_Semana,tipo_faixa_Terceira_faixa,tipo_perfil_de_terreno_Perfil_Ondulado,tipo_perfil_de_terreno_Perfil_Plano
0,920.8,camanducaia,2023-02-23,1,MG,0.05493928963926504,-0.6577350223053471,0.14073496154143156,0.3051930635567953,-0.04058924367296232,-0.5661293529369859,-0.7360304570293155,-0.17424319429721288,0,0,2,0,0,0,1,0
1,76.4,sao_paulo,2023-02-02,0,SP,-1.856450764736267,-1.8691167022831838,-0.7632584529812835,-1.3878243203451288,-0.25265396966786685,-0.1579720090304807,-0.7110487891201506,-0.7189822044175117,0,1,2,0,0,1,0,0
2,525.35,brumadinho,2023-11-19,1,MG,-0.4774248369268127,-0.1318582486144335,-0.07308961958941142,-0.13374963733530912,-0.9902299684133024,-0.5067140433809756,-0.8498091432438132,-0.5904738366855832,0,0,11,0,0,0,1,0
3,75.65,sao_paulo,2023-01-17,1,SP,-0.3886242632874615,0.5384067327660219,0.19150752354561418,0.05320196617825942,-0.6184191165867099,-0.5422340653981557,-0.58453906060579,-0.8236084861107633,0,1,1,0,0,1,0,1
4,75.65,sao_paulo,2023-02-13,1,SP,-0.5494549721063464,0.5075788046218689,0.31697830344821093,-0.14112313775496566,0.34424312641647514,-0.23611605746827677,0.13552548909651693,-0.430122687568752,0,1,2,0,0,1,0,1
5,493.29,betim,2023-04-08,1,MG,0.8704962956600836,0.3861921097495703,0.2568408448730616,0.625684983015277,-0.43588533379504313,1.1052491376168674,1.1107713709350688,-0.09236175645032035,0,0,4,1,0,1,0,1
6,920.8,camanducaia,2023-07-21,1,MG,1.2733207119659142,0.5797741397686526,0.5544114250420255,1.3990384879557491,-0.9832541550582068,-0.5796915431617273,-0.6166469094249409,-0.7167077200328759,0,1,7,0,0,0,1,0
7,70.2,mairipora,2023-06-28,0,SP,-0.9665122646639888,-1.1181054298662672,-0.808020522584572,-0.45262578098845657,-0.4061218634799688,-0.4996100389775396,-1.107552697729716,-0.4892592815692855,0,0,6,0,0,1,0,0
8,525.35,brumadinho,2023-05-22,1,MG,-1.1050769744816324,-1.7994835366364896,-0.8508535313607346,-0.2943012451436406,0.6495512242578234,-0.3891750614332162,-0.6127235064520272,0.08618526774359807,0,0,5,0,0,0,1,0
9,923.38,camanducaia,2023-08-12,1,MG,0.750780087057462,0.02847824515845948,0.4440602296860328,0.5385272661530418,-0.5905158631663276,-0.5861497289830327,-0.7621330972164556,-0.45173028922279307,0,1,8,0,0,0,0,1
10,920.8,camanducaia,2023-03-18,1,MG,1.5183954334070409,0.17586649340905003,0.6116896761002868,1.1953802656231685,-1.395292197232517,-0.604232649282688,-0.947013453633961,-0.8736471425727531,0,0,3,0,0,0,1,0
11,70.2,mairipora,2023-05-03,0,SP,-0.7045875934085614,-0.7375026606978188,0.02333980526747972,-0.539152975418543,-0.8567594062191409,-0.5338384238304585,-1.1402210326878548,-0.5495331177621369,0,0,5,0,0,1,0,0
12,59.795,mairipora,2023-12-28,1,SP,0.7771878934541907,0.5500790515223789,0.3881923112665079,0.40095598823448697,1.331088189050658,-0.5629002600263331,0.10061520958242755,0.027048673743064577,0,0,12,0,0,0,0,0
13,483.7,betim,2023-03-20,1,MG,-0.3072255164870284,0.049032634563779785,-1.1544190072163951,-0.39476394010416554,1.5015305620268258,3.1337653040889126,2.489166925602612,4.031278432894572,0,1,3,0,0,1,0,0
14,643.224,santo_antonio_do_amparo,2023-03-01,1,MG,0.7790040886597815,-0.5547288129252776,0.03794136027212368,1.0056202984791378,-0.11988098880921501,-0.6016493749541658,-0.9745573438927839,-0.2709087806442388,0,0,3,0,0,0,0,1
15,525.35,brumadinho,2023-03-02,1,MG,-0.4050866350227038,0.0349687226385571,-0.17840334997137555,0.29607073416272633,0.08218507137671924,-0.5254427822627614,-0.805931085505921,-0.1287535066044948,0,1,3,0,0,0,1,0
16,59.795,mairipora,2023-09-20,1,SP,0.5619150903449645,0.5196027992638986,0.426402948660653,0.2368972704027005,1.4552576667713588,-0.5861497289830327,-0.27507064243616736,-0.08212657671945879,0,0,9,0,0,0,0,0
17,76.4,sao_paulo,2023-12-10,0,SP,-1.1444123702293203,-1.512460999117486,-0.027159203587180703,-1.0112854800632236,-0.9948805106500327,-0.3245932032201616,-0.4344889142539471,-0.7917657047258606,0,1,12,0,0,1,0,0
18,643.224,santo_antonio_do_amparo,2023-11-04,1,MG,0.606382942977462,0.17274622387970137,0.09600233768120764,0.612794320526325,-0.9718603265782174,-0.6119824722682545,-1.0287643604777346,-0.643924219724527,0,1,11,0,0,0,0,1
19,653.74,santo_antonio_do_amparo,2023-12-09,1,MG,0.9851203591335376,1.069107369999301,0.775308560291687,0.9944184543245952,-0.8988468134615507,-0.6055242864469491,-1.006184776021374,-0.6689435479555218,0,1,12,0,0,0,1,0
